Date,ONI,ENSO Phase-Intensity
01-01-1950,-1.5,ML
02-01-1950,-1.3,ML
03-01-1950,-1.2,ML
04-01-1950,-1.2,ML
05-01-1950,-1.1,ML
06-01-1950,-0.9,ML
07-01-1950,-0.5,ML
08-01-1950,-0.4,ML
09-01-1950,-0.4,ML
10-01-1950,-0.4,ML
11-01-1950,-0.6,ML
12-01-1950,-0.8,ML
01-01-1951,-0.8,ME
02-01-1951,-0.5,ME
03-01-1951,-0.2,ME
04-01-1951,0.2,ME
05-01-1951,0.4,ME
06-01-1951,0.6,ME
07-01-1951,0.7,ME
08-01-1951,0.9,ME
09-01-1951,1,ME
10-01-1951,1.2,ME
11-01-1951,1,ME
12-01-1951,0.8,ME
01-01-1952,0.5,WE
02-01-1952,0.4,WE
03-01-1952,0.3,WE
04-01-1952,0.3,WE
05-01-1952,0.2,WE
06-01-1952,0,WE
07-01-1952,-0.1,WE
08-01-1952,0,WE
09-01-1952,0.2,WE
10-01-1952,0.1,WE
11-01-1952,0,WE
12-01-1952,0.2,WE
01-01-1953,0.4,WE
02-01-1953,0.6,WE
03-01-1953,0.6,WE
04-01-1953,0.7,WE
05-01-1953,0.8,WE
06-01-1953,0.8,WE
07-01-1953,0.8,WE
08-01-1953,0.7,WE
09-01-1953,0.8,WE
10-01-1953,0.8,WE
11-01-1953,0.8,WE
12-01-1953,0.8,WE
01-01-1954,0.8,WL
02-01-1954,0.5,WL
03-01-1954,-0.1,WL
04-01-1954,-0.4,WL
05-01-1954,-0.5,WL
06-01-1954,-0.5,WL
07-01-1954,-0.6,WL
08-01-1954,-0.8,WL
09-01-1954,-0.9,WL
10-01-1954,-0.8,WL
11-01-1954,-0.7,WL
12-01-1954,-0.7,WL
01-01-1955,-0.7,ML
02-01-1955,-0.6,ML
03-01-1955,-0.7,ML
04-01-1955,-0.8,ML
05-01-1955,-0.8,ML
06-01-1955,-0.7,ML
07-01-1955,-0.7,ML
08-01-1955,-0.8,ML
09-01-1955,-1.1,ML
10-01-1955,-1.4,ML
11-01-1955,-1.7,ML
12-01-1955,-1.5,ML
01-01-1956,-1.1,WL
02-01-1956,-0.8,WL
03-01-1956,-0.6,WL
04-01-1956,-0.5,WL
05-01-1956,-0.5,WL
06-01-1956,-0.5,WL
07-01-1956,-0.6,WL
08-01-1956,-0.6,WL
09-01-1956,-0.5,WL
10-01-1956,-0.4,WL
11-01-1956,-0.4,WL
12-01-1956,-0.4,WL
01-01-1957,-0.3,SE
02-01-1957,0.1,SE
03-01-1957,0.4,SE
04-01-1957,0.7,SE
05-01-1957,0.9,SE
06-01-1957,1.1,SE
07-01-1957,1.3,SE
08-01-1957,1.3,SE
09-01-1957,1.3,SE
10-01-1957,1.4,SE
